,title,link,description,long_description,id,keyword_set
17,recruitment scam candidates booked getting proxies write exam,https://timesofindia.indiatimes.com/home/education/news/recruitment-scam-417-candidates-booked-for-getting-proxies-to-write-exam/articleshow/73025288.cms,recruitment scam candidates booked getting proxies write exam top searches recruitment scam candidates booked getting proxies write exam tnn,updated dec ist,"""Recruitment Scam: 417 candidates booked for getting proxies to write exam Top Searches: Recruitment Scam: 417 candidates booked for getting proxies to write exam TNN ",candidates booked write exam recruitment scam getting proxies write exam top searches write exam tnn candidates booked recruitment scam getting proxies
18,amazon app quiz todays answers chance win rs,https://telugu.samayam.com/tech/news/these-are-the-answers-of-amazon-app-quiz-today-to-win-rs-5000/articleshow/73025096.cms,leading online shopping giant amazon runs quiz every day app quiz select correct answers give prizes today dec,leading online shopping giant amazon runs quiz every day app quiz involves selecting answers giving presents today dec,4229,amazon app quiz today win rs quiz every day dec correct answers
19,peter siddle retired,https://www.newspointapp.com/malayalam-news/publisher-mangalam-malayalam/top-news/articleshow/14504820e25e717090a7f6b6a6dbdce6c4d58dd0,melbourne australian pacer peter siddle retired international cricket siddle announced retirement following melbourne test new zealand companions,melbourne australian pacer peter siddle retired international cricket siddell announced retirement following melbourne test new zealand friends,629,peter siddle retired australian pacer peter siddle siddle announced retirement following new zealand melbourne test international cricket companions
20,pakistanis fighting back smog homemade purifier demand,https://economictimes.indiatimes.com/news/international/world-news/how-pakistanis-are-fighting-back-against-smog/a-step-to-ease-the-problem/slideshow/73025798.cms,business news news international world news pakistanis fighting back smog pakistanis fighting back smog dec ist homemade purifier demand,business news news international world news pakistanis fighting back smog pakistanis fighting back smog afp," Updated: 30 Dec 2019  11:41 AM IST 1/9 Homemade purifier on demand For the past few months Hasan Zaidi's (in pic) phone has been ringing nonstop with calls from desperate residents in Pakistan hoping to get their hands on his newly invented air purifier as smog blankets the country. Tired of choking on putrid air  Zaidi spent six months perfecting his homemade device as he looked for a low-cost solution to battle the increasingly toxic scourge overwhelming Pakistan. AFP 2/9 At a cheaper rate During this winter alone the 31-year-old engineer has already sold some 500 units  which are priced at just 16 000 Pakistani rupees (USD 103)  but admits to refusing hundreds of orders in recent weeks due to lack of manpower and resources. In cash-strapped Pakistan Zaidi's \""Indoor Forest\"" purifiers are cheaper than imported models  which typically cost about two to five times more. AFP 3/9 How many died? In the past five years  air pollution has worsened in Pakistan  as a mixture of low-grade diesel fumes  smoke from seasonal crop burn off  and colder winter temperatures coalesce into stagnant clouds of smog. In 2015  135 000 Pakistanis died due to poor air quality  according to a study published in the scientific journal The Lancet. AFP 4/9 Pollution at its worst in Lahore Pollution tends to be at its worst in the country's eastern province of Punjab during winter  particularly in the 12-million strong city of Lahore near the border with India. In November schools were closed for several days across the province with the level of PM2.5 - tiny particles that get into the bloodstream and vital organs -- repeatedly exceeding 200 micrograms per cubic meter of air. The World Health Organisation's recommended safe daily maximum is a measurement of 25. AFP 5/9 Pollution readings Pakistan is ranked one of the worst countries in the world for air quality and Lahore consistently ranked in the top 10 most smog-hit cities  according to the pollution monitoring site AirVisual. But Tanveer Waraich  director general of the Punjab's environmental agency  dismisses those figures  saying pollution readings cited by monitors and activists are not from \""authentic machines\"". AFP 6/9 Growing public awareness Public awareness about the issue is growing due to increased activism on social media about the dangers of pollution and the dire challenges climate change is bringing to Pakistan. With officials slow to act  ordinary Pakistanis have increasingly taken measures into their own hands. In 2016  Abid Omar launched the website PakistanAirQuality (PAQ) dedicated to compiling data about air pollution in the country and publishing its findings. AFP 7/9 Astonishing revelation According to PAQ  Lahore only experienced \""10 hours\"" of good quality air based on WHO standards during the first eleven months of 2019. Conversely  air quality in the city oscillated between \""bad\"" and \""hazardous\"" for a total of 223 days so far this year. AFP 8/9 Building pressure Pressure on officials is building. Ahmad Rafay Alam (in pic)  one of the few environmental lawyers in Pakistan  filed a suit against the Punjab provincial government on behalf of his daughter and two other teenagers in November  saying officials having underreported the problem. Outside of activism and lawsuits  others are trying to minimise their exposure to the harmful toxins in the air. AFP 9/9 A step to ease the problem In an attempt to improve the situation in Lahore  a group of environmentalists are planning to unveil an eight-metre-high air purifier in attempt to remove harmful particles from the air. Maryam Saeed  one of the designers  says of the device: \""It will help to ease the problem  but it won't change the whole picture.\"" AFP""",homemade purifier fighting back homemade purifier ist fighting back demand
21,defense secrets leaked ban social media navy,https://www.malayalamexpress.in/archives/991204/,mumbai navy banned social media facebook whatsapp instagram social media apps banned chiles critical information leaked navy,mum bye prohibition social media navy bans facebook whatsapp instagram based social media apps non secure non technical characteristics,3677,defense secrets leaked social media social media apps critical information leaked banned social media navy
22,worlds oldest rhinoceros fosta left,https://www.malayalamexpress.in/archives/991231/,tanzania year old fosta worlds oldest known rhinoceros left tanzania female rhinoceros rescued ngorongoro conservation area tanzania,tanzania fosta oldest rhinoceros world left tanzania female rhinoceros ngorongoro protected area tanzania,6523,oldest rhinoceros ngorongoro conservation area oldest known rhinoceros female rhinoceros old fosta left tanzania
23,th islamic seminar campaign conference inaugurated bassam shatvi,https://www.malayalamexpress.in/archives/991264/,kuwait city th islamic seminar campaign conference organized kuwait kerala correctional center inaugurated masjidul kabir auditorium kuwait university,kuwait city th islamic seminar propaganda seminar organized kerala kuwait islami center kuwait,3476,bassam shatvi kuwait kerala correctional center masjidul kabir auditorium kuwait university kuwait city
24,like year indian tech startups,https://timesofindia.indiatimes.com/gadgets-news/why-2019-was-like-no-other-year-for-indian-tech-startups/articleshow/73027115.cms,like year indian tech startups top searches like year indian tech startups timesofindia com,dec ist indian tech startups raised,"""Why 2019 was like no other year for Indian tech startups Top Searches: Why 2019 was like no other year for Indian tech startups TIMESOFINDIA.COM ",indian tech startups indian tech startups timesofindia
25,full meal rs karnal grain market,https://timesofindia.indiatimes.com/city/gurgaon/full-meal-for-only-rs-10-at-karnal-grain-mkt/articleshow/73022866.cms,haryana chief minister manohar lal khattar sunday inaugurated canteen karnal cater poor especially farmers labourers full meal priced rs canteen cm said,haryana chief minister manohar lal khattar sunday inaugurated canteen karnal cater poor especially farmers labourers full meal priced rs canteen cm said canteens opened state,3063,karnal grain market rs full meal poor especially farmers cm said sunday inaugurated rs full meal
26,caa nrc golab protest karunanidhi stalins house,https://www.newspointapp.com/tamil-news/publisher-seithisolai-tamil/politics/articleshow/14504820209eacca43721bb50d36bfa9b73bab5b,dmk leader stalin protested citizenship amendment act doorsteps former chief minister karunanidhi central bjp government passed,dmk leader stalin former chief minister karunanidhi protested amendment citizenship law central bjp government,630,karunanidhi stalin house golab protest former chief minister karunanidhi dmk leader stalin citizenship amendment act central bjp government passed
27,pakistan caught self goal kashmir kartarpur corridor attempt encircle india,https://www.newspointapp.com/hindi-news/publisher-uttamhindu-hindi/world/articleshow/14504820170b37788285aa75b0995201ec4a8742,new delhi uttam hindu news pakistan plotting india lost face time pakistan made gritty un security council media reports,new delhi uttam hindu news pakistan plotting india lost face time pakistan made gritty un security council media reports,6329,pakistan caught self kashmir kartarpur corridor encircle india un security council media reports time pakistan new delhi
28,salman cleans bathroom washes utensils,https://timesofindia.indiatimes.com/videos/tv/hindi/bigg-boss-13-salman-khan-cleans-bathroom-washes-utensils/videoshow/73026487.cms,bigg boss housemates gave tough time new captain shehnaaz gill avoiding duties led host bollywood superstar salmankhan entering house cleaning kitchen,bigg boss housemates gave tough time new captain shehnaaz gill avoiding duties led host bollywood superstar salmankhan entering house cleaning kitchen bathroom contestants watched embarrassment,5766,new captain shehnaaz gill bollywood superstar salmankhan entering tough time
29,volkswagen sells electrified vehicles,http://auto.economictimes.indiatimes.com/news/industry/volkswagen-sells-over-250000-electrified-vehicles/73026505?utm_source=newspoint&utm_medium=np_app,around half electrified vehicles attributed full battery electric models plug hybrid ones new delhi german car manufacturer volkswagen crossed milestone selling,around half electrified vehicles attributed full battery electric models plug hybrid ones new delhi german car manufacturer volkswagen crossed milestone selling electrified vehicles claims automaker release th electrified model golf delivered autostadt mid december auto manufacturer claims golf successful model units sold followed golf gte passat gte sold units units units respectively around half electrified vehicles attributed full battery electric models plug hybrid ones commenting jurgen stackmann board member sales marketing sales said electric cars new id family answer major challenges times selling next electrified vehicles considerably shorter period time read also volkswagen raises forecast electric car production volkswagen robot drives ev charge also said new id family vehicles offer considerable driving pleasure advantages auto company claims delivered electrified vehicles delivered main markets company china norway germany usa united kingdom follow connect us twitter facebook linkedin youtube,4068,electrified vehicles volkswagen sells german car manufacturer volkswagen selling new delhi hybrid ones full battery electrified vehicles electric models around half
30,pakistani player smashed tv watch daughter shine hindu manner,https://www.newspointapp.com/kannada-news/publisher-kannadadunia-kannada/top-news/articleshow/14504820688fb2101c56d229f5e191a82a0768f9,pakistani danish kanerias statement subject lot talk discrimination hindus pakistan former pakistani leader shahid afridi revealed another issue interview,pakistani danish kanerias statement subject lot talk discrimination hindus pakistan former pakistani leader shahid afridi revealed another issue interview,4617,smashed tv pakistani player hindu manner daughter shine revealed another issue pakistani danish kaneria interview
31,government buses shock chennai residents charged higher fares,https://www.newspointapp.com/tamil-news/publisher-tamilsamayam/top-news/articleshow/145048200fe2fc0e89fb3112cea10b2ee992e509,transport corporation started investigation following revelation complaint regarding government buses charging fare fixed government chennai trend,transport corporation begun investigation complaint state owned buses brought light chennai trend,3064,government buses trend transport corporation investigation following fare fixed
32,smart umpire covering,https://www.newspointapp.com/telugu-news/publisher-telugusamayam/top-news/articleshow/145048209f13a386ebd667eb0a852c5ec19761d9,seems natural field umpires field quick make decisions especially umpires often make mistakes match excitement fielders ground shouted,quite natural field umpires make decisions field importantly umpires often make mistakes match fielders ground loudly,3678,umpire ground shouted seems natural match excitement field umpires
33,bjp mp raised question yogi sarkar policemen engaged unbridled recovery uttar pradesh,https://www.navjivanindia.com/news/bjp-leader-kaushal-kishore-attacks-up-police-over-law-and-order-in-up,criminals uttar pradesh fearless yogi raj police also question alam along leaders opposition party bjp mps mlas also question law order uttar pradesh,criminals uttar pradesh fearless yogi raj police also question alam along leaders opposition party bjp mps mlas also question law order uttar pradesh,4811,bjp mp raised yogi sarkar uttar pradesh unbridled recovery mlas also question yogi raj uttar pradesh opposition party bjp mps
34,pregnant cockroach person admitted hospital surgery,https://tamil.samayam.com/latest-news/international-news/russian-veterinarian-successfully-performed-nanosurgery-on-cockroach/articleshow/73028127.cms?utm_source=colombia&utm_campaign=colombiaorganic&utm_medium=webwap,russia cockroach suffering poor health admitted veterinary hospital time given birth,surprisingly incident beanbirds russia admitted veterinary hospital due time serious health condition,6893,pregnant cockroach surgery veterinary hospital poor health given birth cockroach suffering
35,kriti pens sweet birthday wish pulkit,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/photo-features/celebs-instagram-pics-you-should-not-miss/pic-kriti-kharbanda-pens-a-sweet-birthday-wish-for-her-favourite-pulkit-samrat/photostory/73026229.cms,ranveer singh deepika padukone priyanka chopra nick anushka sharma virat theres one couple painting town red cosy photos social media pulkit samrat kri,ranveer singh deepika padukone priyanka chopra nick anushka sharma virat theres one couple painting town red cosy photos social media pulkit samrat kriti kharbanda bollywoods newest couple doling major couple goals lovey dovey photos instagram recently kriti took social media shower love beau shared goofy monochrome selfie pulkit penned sweet birthday wish captioned post coz birthday favourite pulkitsamrat madness happiness craziness laughters tears joy much happiest birthday muahhh soon shared post comment section filled heartfelt wishes birthday boy meanwhile work front pulkit kriti last seen anees bazmee directorial pagalpanti film also featured john abraham arshad warsi ileana dcruz urvashi rautela anil kapoor film came last month pulkit kriti also worked together veere ki wedding couple set star hindi film taish slated hit theatres next year,426,sweet birthday wish kriti pens deepika padukone priyanka chopra town red social media ranveer singh pulkit samrat one couple kri cosy photos anushka sharma
36,characters fault didi misled bengali brothers chief minister cannon prince keshari,https://banglahunt.com/didi-character-loose-said-rajkumari-keshori/,bangla hunt desk file citizenship act change colors something wrong character keep bengali brothers confused bankura onda bjp citizen,bangla hunt desk file citizenship law change colors character fault keep bengali brothers confused bandas onda bjp citizens,2253,prince keshari chief minister bengali brothers bjp citizen bengali brothers confused bangla hunt desk something wrong citizenship act change colors bankura onda
37,foods cure vitamin deficiency ages skip,https://tamil.samayam.com/lifestyle/health/foods-to-be-taken-to-boost-up-vitamin-d-in-your-body/articleshow/73028788.cms?utm_source=colombia&utm_campaign=colombiaorganic&utm_medium=webwap,time time hear read important vitamin body physical health india tropical country shortage,time time know important vitamin body health tropical country india suffered shortage recent years,4989,skip cure vitamin ages tropical country physical health important vitamin
38,satveer singh palli jhikki appointed chairman district planning board,https://www.newspointapp.com/punjabi-news/publisher-ajitjalandhar-punjabi/top-news/articleshow/145048208c0e8ddc261d4a5cfa1a19d57fb20aae,banga december bharatsandesh news punjab government appointed satveer singh palli jhikki charge banga constituency chairman district planning board satveer singh palli jhikki appointment chairman,banga dec jasbir singh nurpur satvir singh palli fikki charge banga constituency appointed punjab government chairman district planning board satvir singh palli fikki appointed chief,6524,district planning board satveer singh palli jhikki district planning board banga december banga constituency chairman
39,sex shower,http://timeskerala.com/archives/169049,damp sex water droplets shower want soak naked soak others body drop water take bath soap water experience different shava,sex wet shower want lick others bodies get wet sex experience different manassu close button,4413,water droplets soak naked shava damp sex
40,new years holiday gift,https://m.maharashtratimes.com/maharashtra/kolhapur-western-maharashtra-news/kolhapur/employees-and-school-students-will-get-24-vacations-in-the-new-year/articleshow/73024978.cms,employees school students get vacations new year december watch live tv new year holiday gift new year holidays employees school children,employees school students get vacations new year december watch live tv new year holiday gift,4812,new year holiday gift school children get vacations school students holidays new year december
41,complaint bhagwat speaking crore hindus,https://navbharattimes.indiatimes.com/state/other-states/hyderabad/congress-leader-files-complaint-against-rss-chief-mohan-bhagwat-in-hyderabad/articleshow/73030977.cms,hyderabad senior congress leader hanumanta rao filed complaint rashtriya swayamsevak sangh rss chief mohan bhagwat complaint rao said bhagwat gave crore countrymen hindu,hyderabad senior congress leader hanumanta rao filed complaint rashtriya swayamsevak sangh rss chief mohan bhagwat complaint rao said bhagwat gave crore countrymen hindu,6894,crore hindus bhagwat speaking rashtriya swayamsevak sangh chief mohan bhagwat rao said hindu
42,student harassed father complains mother arrested pokcho act,https://www.newspointapp.com/tamil-news/publisher-newstm-tamil/top-news/articleshow/145048208135de9377bd81acb1856d3c222fb2ef,mother molested th class student salem arrested pokcho act daughter laborer salem studying th class private school daily,mother molested th grade student salem arrested pok mon act daughter salary worker salem attending th grade private school day,5178,pokcho act mother arrested studying th class th class student private school pokcho act daily
43,cheap jio phones find price information one click,https://eisamay.indiatimes.com/tech/news/jiophone-lite-will-come-to-the-market-as-a-cheaper-version-of-jiophone-for-rs-399/articleshow/73030758.cms,time digital desk geo phone internet service talk soon keep good content surprised hear going happen one telecom company another across country plagued financial pressures possible,time digital desk geo phone internet service start talking sms surprised hear happen across country telecom companies financial stress well,3065,cheap jio phones price information one click time digital desk one telecom company possible internet service good content geo phone financial pressures another across
44,year old bride year old bride trending twitter,https://www.newspointapp.com/marathi-news/publisher-policenama-marathi/top-news/articleshow/145048208183e1d7b4881cf1aa4b377d3db7eab1,new delhi said love age love happens anytime year emotions important love age something similar happened government kerala,new delhi news agency says love age love happens anytime year age love feelings important something similar happened vinegar kerala,846,love happens anytime something similar new delhi kerala
45,good news watching tv cheaper new year,https://maharashtratimes.indiatimes.com/gadget-news/science-technology/here-is-a-good-news-trai-planning-make-ncf-charges-cheaper-in-new-year/articleshow/73030907.cms,new delhi good news dth cable tv users watching tv new year going relatively much cheaper telecom regulatory authority tra make many changes telecom sector,new delhi good news dth cable tv users new year watching tv going lot cheaper telecom regulatory authority trai makes many changes telecommunication sector,5767,watching tv new year good news telecom sector telecom regulatory authority relatively much cheaper make many changes cable tv users watching tv new year new delhi good news
46,scooter ride without prior notice crpf says priyanka gandhi violated protocol,http://www.mangalam.com/news/detail/361647-latest-news-priyanka-gandhi-vadras-securitymen-back-up-cops-say-she-broke-protocol.html,lucknow crpf accused congress general secretary priyanka gandhi violating protocol visiting homes arrested protest amendment citizenship law pizza,lucknow crpf says congress general secretary priyanka gandhi violated protocol visiting homes arrested protest amendment citizenship law pc,5957,violating protocol pizza citizenship law
47,bangladeshs former foreign secretary muazzem ali dies jiashankar expresses grief,https://timesofindia.indiatimes.com/world/south-asia/bangladeshs-former-foreign-secretary-muazzem-ali-dies-jiashankar-expresses-grief/articleshow/73031315.cms,syed muazzem ali bangladeshs former foreign secretary good friend india died due old age complications hospital monday ali served bangladeshs immedia,syed muazzem ali bangladeshs former foreign secretary good friend india died due old age complications hospital monday ali served bangladeshs immediate past high commissioner india passed away combined military hospital undergoing treatment per local media reports,1048,syed muazzem ali bangladesh good friend india died due former foreign secretary immedia age complications
48,ayush arpitas lekis photo goes viral maharashtra times,https://maharashtratimes.indiatimes.com/photogallery/entertainment/aayush-sharma-and-arpita-khan-with-their-new-born-baby-aayat/photoshow/73030113.cms,thank feedback email sent verification please click link provided mail feedback feedback wrote,thank feedback thank sent mail verification please click link provided email reaction wrote,1263,photo goes viral maharashtra times wrote please click link provided feedback feedback
49,hong kong stocks close month high,https://economictimes.indiatimes.com/markets/stocks/news/hong-kong-stocks-close-at-5-month-high/articleshow/73029013.cms,hong kong stocks close month high hang seng index closed per cent highest since july reuters,dec pm ist comments shutterstock com hang seng,"""Hong Kong stocks close at 5-month high The Hang Seng index closed up 0.3 per cent at 28 319.39  its highest since July 26. Reuters",hong kong stocks close month high hong kong stocks close highest since july hang seng index closed per cent month high
50,rupees visit chennai tourism bale project,https://www.newspointapp.com/tamil-news/publisher-tamilsamayam/top-news/articleshow/14504820e4fa7d656fd0f7cf2112ca9849d08cdf,tamil nadu tourism development corporation take important places chennai fee ten rupees create tourism awareness among people tourist complex,tamil nadu tourism development corporation tdc taking main attractions chennai rs tourist,5550,visit chennai rupees create tourism awareness among tourist complex ten rupees important places
51,maharashtra karnataka border issue yeddyurappas statement give even inch space,https://www.newspointapp.com/marathi-news/publisher-policenama-marathi/politics/articleshow/145048204e538d930326e5ce82786fb4dc0f1fb6,new delhi president karnataka navnirman sena association kannada speakers said leaders maharashtra unification committee shot standing border yav,new delhi president karnataka navnirman sena kannada speaking organization said leaders maharashtra integration committee fired border fired yaw,1654,karnataka border issue give even maharashtra unification committee karnataka navnirman sena yav new delhi kannada speakers
52,ttd going build venkateswara temples jammu varanasi,https://www.newspointapp.com/bengali-news/publisher-banglahunt-bengali/top-news/articleshow/14504820b4674af100d03abbcfd02d08c6202d1d,bengali hunt desk temples scattered different parts india historians also found traces temples different parts country statues various deities temples different parts india foreign travel pip,bangla hunt desk temples spread various parts india historians also found traces temples kanach time various idols temples different temples india visited people,5958,build venkateswara temples foreign travel pip bengali hunt desk also found traces various deities different parts
