,id,category_tree
23,"""Why 2019 was like no other year for Indian tech startups Top Searches: Why 2019 was like no other year for Indian tech startups TIMESOFINDIA.COM ",Real Estate^Entertainment-->kollam beach without following life guards visitors despite strong waves low life guards kollam beach calm due
24,3063,Banking & Finance^Automobiles-->hold mumbai city fc hyderabad fc rally indian super league aditya singh
25,630,News & Politics^Impression-->protests break jnu attack hyderabad universities osmania university arts college jnu students march ahead
26,6329,News & Politics^FMCG-->brutally torturing old man arrested old girl young girl salim saveri old middle old man jolie wagga brutally tortured brutal rape aged man
27,5766,Banking & Finance^Real Estate-->manoj tiwary hits balls
28,4068,Education^Real Estate-->first phase dakar rally hero motosports got mixed dakar rally saudi arabia january first time first leg
29,4617,CAN^News & Politics-->tense atmosphere rural local government elections governor banwar tomorrow tense situation many days legislature convene
30,3064,Banking & Finance^Entertainment-->good response vote bank opposing caa amit shah bjp president amit shah vote bank citizenship amendment act thursday said people use
31,3678,Banking & Finance^Real Estate-->raise kashmir issue china tries un security council member count new york kashmir issue fresh pitch door meeting
32,4811,Education^Entertainment-->us judge orders facebook disclose malicious apps violate us judge probe ordered ordered facebook new york
33,6893,Career & Job^Entertainment-->title video song driving license film received rave reviews second week movie driving license december
34,426,Entertainment^Air Travel-->release date ajay devgan saif ali khan january awaited film tanaji film ishq wife kajol unsung warrior ajay devgan
35,2253,Entertainment^Banking & Finance-->mangalore bomb blast case opposition leader siddaramaiah agra mangalore bomb blast aditya rao
36,4989,Automobiles^Entertainment-->two bronze medals two bronze medals khelo india tournament international shooter harshda nithve
37,6524,Health & Pharmaceutical^Entertainment-->west indies retirement age batsman claims years
38,4413,Real Estate^Real Estate-->use art tahir kootai social good social changes social upliftment
39,4812,Real Estate^Banking & Finance-->justice says slain sikh elder brother harmeet singh two days cases
40,6894,Food & Dining^Banking & Finance-->rajasthan selectors remove bist probables menaria named captain southpaw ashok menaria robin bist failed probables replac good run
41,5178,Banking & Finance^Real Estate-->challenger trophy title help india register shafali verma scored blistering unbeaten half india wicket victory emphatic eight chasing
42,3065,Shopping^Real Estate-->dosara sports prize donated suspension hosted mysore
43,846,Real Estate^Travel-->youths promised take bets india rampurhat january youths took oath guardians also took take bets gambling
44,5767,Education^Real Estate-->brokerages maintain bearish stance mart retail chain posted avenue supermarts even though strong profit growth domestic brokerages maintained new delhi december quarter bearish view
45,5957,Real Estate^Banking & Finance-->remain poor cousin ranji trophy batting great sunil gavaskar poor cousin class tournament saturday said rich ipl ranji trophy premier first new delhi match fee
46,1048,Click^Religion & Spirituality-->muslim minorities new delhi jan controversial law continues citizenship amendment act ruled states
47,1263,Health & Pharmaceutical^Online Services-->finding committee visited jnu campus new delhi jan jawaharlal nehru university wednesday visited union member fact finding committee
48,"""Hong Kong stocks close at 5-month high The Hang Seng index closed up 0.3 per cent at 28 319.39  its highest since July 26. Reuters",Banking & Finance^Entertainment-->golden globes bread pitt received many super hit films huge fan following indian audience brad pitt
49,5550,Banking & Finance^Music and Audio-->us jobs would popular tacoma pickups moving assembly operations united states new york friday said announcement came
50,1654,Health & Pharmaceutical^Real Estate-->woman whose husband two children stranger fell stopped caring sale continuing rasali
51,5958,DFP^Travel & Tourism-->vigorous shot test days former indian team opener four days instead virender sehwag test match sarcastically said die
52,3067,Banking & Finance^News & Politics-->bigg boss fans star favorite siddharth shukla public report rotalu sitara bigg boss social media rashmi desai disliked star
53,6725,Health & Pharmaceutical^Online Services-->old pregnant woman strangled death young man arrested sister finally made fake theft attempt years young man pregnant wife get hold com
54,,nan^Entertainment-->attack nankana sahib gurdwara send member delegation shiromani gurdwara parbhandhak committee manages sikh shrines take stock situation following mob attack member delegation apex body
55,1455,Religion & Spirituality^Entertainment-->injury update bpl shere bangla stadi shane watson bpl bangladesh premier league rangpur rangers photo source match details dhaka platoon th game
56,199,Entertainment^Entertainment-->srimukhi challenge rashmi future generations green india challenge launched cine political celebrities challenge visa challenge three planting saplings good response
57,5551,Education^Music and Audio-->new government sets goal carbon neutral tackling climate change also includes tougher coalition deal first coalition unlikely couple
58,1655,Music and Audio^Music and Audio-->release hathini laxmi accept mahavat habeas corpus petition alleged illegal detention supreme court new delhi jan hathi laxmi chief justice
59,1656,Impression^Banking & Finance-->must happen manchester united make things ole gunnar solskjaer ole year prove successful one red devils calendar year
60,3477,Entertainment^News & Politics-->rashtriya kisan mahasangh infam national conference infam national conference infam farmers various farmers january january independent day celebrations
61,1049,Education^Entertainment-->people drowned due boat capsization uttam hindu news b b tarabganj tehsil area umribegum ganj area b b gonda uttar pradesh ghaghra river drowned boat capsized people
62,1050,Banking & Finance^Entertainment-->vital questions questions questions may become clearer term futur determine india leaves us draws
63,1657,Education^CAN-->twitterati slam msk prasad dropping sanju samson virat kohli i squad sanju samson sanju samson upcoming tour selectors announced photo source new zealand member squad challenging
64,4618,Air Travel^Travel-->new year celebrations new year carnations tibetan border police soldiers uttarakhand celebrate new year mumbai
65,6726,Info Tech^Real Estate-->wearing
66,3068,Entertainment^Real Estate-->people olympic skier lindsay week ago vaughn broke tiger woods
67,3876,News & Politics^Entertainment-->australian open badminton tournament serena williams three seats long serena williams loses wang qiang australian open
68,4619,Automobiles^Entertainment-->chittoor gear taming sport jallikattu several people brought ani people traditional bull tamil nadu jan andhra pradesh
69,4069,Entertainment^Entertainment-->fruits help prevent cancer world rise worldwide jan
70,3478,CAN^Real Estate-->come back sun tv
71,2482,Education ^Real Estate-->check post near kumari inspector shot dead mysterious persons kumari district kaliyakkavilai kaliyakkavilai check post special sub shot dead mysterious persons
72,5959,Real Estate^Real Estate-->ananya grover ananya grover
73,1051,Entertainment^Music and Audio-->waive permits prevent decentralization transport minister ak sasindran trade unions next wednesday waive permits state government luxury buses central government
74,200,Entertainment^Automobiles-->students protest procession new delhi jnu joined
75,1868,Home & Garden^Real Estate-->salary increase installments seventh pay commission big pay hike wednesday new delhi gujarat government
76,3877,Entertainment^Real Estate-->harboring militants arrested hussein sharif allegedly harboring militants abdul samim tawfeek
77,1,Education^Sports & Games-->audi launches rs crore petrol engine variant audi launches showroom price rs india ex flagship suv audio crore
78,2254,Religion & Spirituality^Religion & Spirituality-->young man arrested disabled woman waiting incident kozhikode disabled woman
79,1658,Air Travel^Entertainment-->sword hanging seven people bb leader online bigg boss th week th week show saw nomination task new delhi big twist contestants contestants
80,5358,Real Estate^Real Estate-->nataka award winners govt scraps list row erupts deny courted fresh controversy bs yediyurappa government
81,1052,Banking & Finance^Real Estate-->karnataka medical council membership karnataka medical council membership january
82,,nan^Entertainment-->looting cheap tractor lakh rupees social site facebook village jamalgarh reporter punhana luring tractors cheap prices
83,631,Click^Entertainment-->new year tv actors jasmin bhasin mumbai dec new year new beginnings naagin meera deosthale looking forward big plans
84,4230,Entertainment^Click-->two killed terrorist attack least two people southwestern city several others pakistani media
85,Andre Russell will lead Rajshahi Royals The final match of this decade will feature a battle between the Rajshahi Royals and the . Both the teams endured contrasting fortunes on 30th of December as the Royals succumbed to a 74-run loss against Dhaka Platoon while Rangpur defeated Sylhet Thunder by 7 wickets. However  on the points table  the Royals hold a better position than their rivals. They sit fourth with 5 wins in 7 games whereas the Rangers have won only two of their 7 matches thus far...,Real Estate^Food & Dining-->top intraday trading ideas monday january afternoon trade various frontline bluechip counters equity benchmarks sensex trading lower trading ideas new delhi com collated
86,1659,Entertainment^Real Estate-->trump opened twitter account threatening iran
87," Updated: Dec 07  2012  07.49 PM IST 0Comments 'Only natural born Indian citizen should become President  VP  Prime Minister' NEW DELHI: Only a natural born citizen of India should be eligible to hold office of President  Vice President and Prime Minister  a BJP member said in a private member's bill introduced in the Lok Sabha today. Bhola Singh (BJP) sought an amendment to the Constitution for the purpose. His proposal was among the 47 private members bills introduced in the House. Other bills introduced in the House sought creation of dedicated banks for financing technology and education  right to employment guarantee of 240 days for BPL families and daily needs and setting up more High Court benches in the country. The Technology Bank of India Bill  2012 was introduced by Arjun Ram Megwal (BJP) which sought to create a dedicated bank to promote research and development in the country by providing interest free loans to researchers. The Education Bank of India Bill  2012 was also introduced by Megwal  which sought creation of a dedicated bank for providing easy terms loans to students particularly for higher education. Singh also introduced another Constitutional amendment bill to give right of 240 days employment guarantee in a year and essential items of daily use like fuel  milk  items of groceries and vegetable to people living below poverty line. J P Aggarwal (Cong) introduced a Constitutional amendment bill seeking more High Court benches in the country for speedy delivery of justice. Rattan Singh (SAD) also moved a Constitutional amendment bill seeking omission of the clause that shows that Sikh  Jain and Buddhist religions also fall in the definition of Hindu. Some other bills introduced include Promotion of Small Family  Abolition of Begging Bill and Sanskrit Language (Compulsory Teaching in Schools) Bill. After discussion on the Ban of Witchcraft Bill  2010  it was put to vote and defeated. The bill was introduced by Independent member Om Prakash Yadav   who was not present at the time of voting on his bill. During reply on the bill  Minister of State for Women and Child Development Krishna Tirath said government is awaiting the findings of a study to make law on this issue. She said this bill cannot be passed because government would first examine the findings of the study being conducted and then draft a legislation. She said it is tragedy that only women are called witch and punished and lamented that this practice is prevalent to deprive women of their right in property. Read more on""",Religion & Spirituality^Travel & Tourism-->busy schedule new zealand within auckland virat kohli today said indian team
88,428,Entertainment^Entertainment-->muted spot demand mentha oil slips speculators avoided fresh positions mentha oil prices slipped thursday amid muted demand mentha oil futures due muted futures trade spot market new delhi consuming industries
89,3262,Air Travel^Real Estate-->divisive concept meant contain china wednesday said pacific concept new indo contain china
90,,nan^Click-->modi asked ministers ministers visiting jammu urban areas new delhi jan
91,2883,Impression^Religion & Spirituality-->cyber crime kathmandu jan capital kathmandu various places nepal government cyber crime criminal activities
92,"""Reeba Zachariah ",Real Estate^Religion & Spirituality-->common girls bollywood actresses wedding related parties tube gowns something new often seen girls also made
93,1869,Gadgets & Technology^Automobiles-->minister sudhakaran public works department still halfway many roads
94,3479,Entertainment^Click-->psi demanded bribe rs acb rushed salabatpura police station taking similar bribe acb caught psi long time corruption bureau bribery officials
95,201,Real Estate^Real Estate-->third i match sri lanka new delhi
96,6896,Entertainment^Entertainment-->fake calls amit shah wing commander kuldeep waghela indian air force officer madhya pradesh police fake phone call special squad
97,202,Entertainment^Entertainment-->gifted happy new year tulasi neem plant tanishka saini lucknow new year many flower vendors situation increased demand
98,4070,Entertainment^Real Estate-->vidhu vinod chopra shikara trailer review painful story kashmiri pandits compelling way upcoming film shikara shikara trailer review vidhu vinod chopra untold story kashmiri pandits
99,203,Religion & Spirituality^Air Travel-->monday started using high speed diesel superior category new delhi key platforms indian navy boost reliability
100,5552,Entertainment^News & Politics-->stealing garlic farmers beat social media incident went viral farmers allegedly stripped mandsaur mandi
101,2884,Online Services^Entertainment-->sunil singh sp open bjp akhilesh said cm three years ago yogi adityanath became saturday formal membership hindu yuva vahini sunil singh state president sp counted among
102,3070,Automobiles^Real Estate-->crowded time rail transport essential one
103,204,Family and Relationships^CAN-->congress offers directly bjp chief minister alternative government citizenship amendment act resign considering new game alternative
104,3263,Entertainment^Banking & Finance-->eating egg yolks good balanced diet egg whites avoid egg yolks produce cholesterol generally recommended
105,2059,Entertainment^Real Estate-->espn happy new year cricinfo
106,5768,Sports & Games^Real Estate-->play store two weeks ago totok play store google play store mobile app
107,4813,Impression^Entertainment-->iit mock test continues jee advanced practice link joint entrance examination jee advanced ug courses indian institutes indian institute co
108,1660,Religion & Spirituality^Shopping-->cm bhupesh baghel gave operation blackout guilty officers action taken chief minister bhupesh baghel linking guru statement came shocking revelations operation black joint team inh news electricity department
109,4990,CAN^Real Estate-->ratan tata told supreme court cyrus mistry ratan tata told supreme court cyrus mistry
110,5553,Entertainment^Real Estate-->meeting two suspects terrible virus finally appeared two suspected cases horrific corona virus corona virus kasturba hospital intensive testing finally appeared
111,,nan^Real Estate-->billion foreign exchange reserves swelled fund however increased usd million usd usd reserve position data showed billion billion
112,6330,News & Politics^Religion & Spirituality-->school buses school buses carrying students special correspondent mumbai traffic police immediate action
113,3071,Automobiles^Real Estate-->lashkar terrorist arrested special operations group police officer said kashmir police
114,3679,Entertainment^Entertainment-->bpl card holder great masterpiece january issued important information server issue ration cards kyc update discontinued due
115,429,Religion & Spirituality^Real Estate-->amazon app quiz today win rs quiz every day dec correct answers
116,4991,Entertainment^Banking & Finance-->vs new zealand unofficial odi stumps flying second india second unofficial odi dismissed new zealand horrible outing hagley oval
117,6897,Air Travel^Entertainment-->buy silver copper sell nickel commodity outlook west asia denting safe tensions also eased regain str nearly seven years gold prices languished profit booking pause started base metals
118,2885,Real Estate^Entertainment-->never even used made money drink tea named samantha ruth prabhu samantha akkineni south film industry many best tamil ift telugu films renowned actress
119,3680,Food & Dining^Entertainment-->woman dies tragic incident took place woman died thread prakasam district lone woman beasts roared andhra pradesh
120,4620,Religion & Spirituality^Religion & Spirituality-->farmageddon movie review sheep movie sheep movie quick take company dealing
121,633,Real Estate^Education -->may retire soon former captain dhoni annual contract icc odi world cup indian team since internet desk annual contract
122,5179,Education^Entertainment-->hardik pandya dines natasa stankovic rounder hardik pandya actress natasa stankovic spotted dining orthodox christmas monday night bollywood dancer annually celebrated
123,3480,Real Estate^Entertainment-->smriti irani sparkles deepika padukone union minister smriti irani deepika thama movie bollywood actress deepika padukone jawaharlal nehru university controversy raised
124,3481,News & Politics^CAN-->cold shows outrage decision start schools half hour late getting worse due degrees celsius students going morning school freezing cold
125,3072,Entertainment^Education-->securitisation market likely housing finance players relying bank financial companies raising funds market
126,3073,CAN^Real Estate-->teacher suspended speaking obscenely promoting secularism teaching hindi kodungallur govt kk kalesan high school
127,5960,Education^Entertainment-->one noticed deepika padukone society views victims title role new experiment acid attacks
128,5554,News & Politics^Entertainment-->sex racket exposed spa using happy ending call girl bhopal crime branch madhya pradesh
129,5180,Entertainment^Entertainment-->christian organizations boiling tv show fire bollywood actress hindi private television christian actress raveena tandon insulting christians
130,4414,DFP^CAN-->bollywood superstar salman khan sister arpita khan salma biggest gift
131,4415,Entertainment^Real Estate-->captain america actress held mollie fitzgerald minor role first avenger
132," Dec 31  2019  12:17 IST The Maharashtra Housing and Area Development Authority (MHADA) has approached the state gove...""",Banking & Finance^Entertainment-->life mission project chowannur block panchayat january family reunion
133,1456,Air Travel^Entertainment-->page charge sheet filed pmc bank scam accused page charge sheet metropolitan magis economic offences wing mumbai police maharashtra cooperative friday submitted five persons crore punjab bank scam
134,6130,Banking & Finance^News & Politics-->karunanidhi stalin house golab protest former chief minister karunanidhi dmk leader stalin citizenship amendment act central bjp government passed
135,,nan^Entertainment-->katrina wants salman lady dabangg super hit soon salman khan katrina kaif india career together box office th film crores
136,2060,Banking & Finance^Real Estate-->google announces dates usa google day confere official tweet may developer conference
137,2886,Online Services^Real Estate-->vijay suryavanshi kolhapur municipal corporation vilas vaskar vacant posts
138,3482,Banking & Finance^Real Estate-->samsung galaxy lite galaxy lite samsung introduced new delhi finally launched
139,"""manali  kerala  mangalore  udaipur romantic places to roam in these romantic places Vijaya Karnataka ",Real Estate^Entertainment-->crore heroin seized huge success two drug lords special task force curbing drug trafficking achieved great success uttar pradesh kolkata police banned drugs kg
140,6331,Real Estate^Real Estate-->jee main result candidates joint entrance exam jee main result jee main exam direct link given official website january
141," Dec 31  2019  12:14 IST One of India's promising junior pacer Aditya...""",Automobiles^Education-->privileges says pinarayi vijayan kerala caa resolution state assemblies resolution seeking scrapping
142,2887,Online Services^Entertainment-->losing three wickets early middle overs losing three wickets india bat first team lost short intervals second odi run defeat middle overs
143,4621,Banking & Finance^Air Travel-->china adds ninth city china adds ninth city affected top searches affected afp
144,4072,Family and Relationships^CAN-->hina khan shivangi joshi hina khan walked earned international recognition cannes film festival well shone bright red carpet last year industry friends big high
145,2677,Real Estate^Entertainment-->five lakh refugees three months implement caa get citizenship bangla hunt desk hi
146,4416,News & Politics^Entertainment-->reach crore people door campaign started caa aims citizenship amendment act bharatiya janata party silsil new delhi lajpat nagar caa
147,1264,Automobiles^Food & Dining-->jet airways climbs share market update aviation stocks per cent per cent taneja aerospace positive note new delhi jet airways interglobe aviation aviation stocks aviation afternoon session
148,3879,Entertainment^Real Estate-->malang trailer aditya disha malang awaited trailer today mohit suri interesting posters
149,2061,Education^Home & Garden-->son arrested kill woman prakasapuram area near sathankulam age wife nishanti varghese hails passed building contractor alphonse raj
150,2,Real Estate^Entertainment-->sc seeks report vehicle plan policy decision taken give incentive detail steps taken union government supreme court new delhi friday asked
151,1265,News & Politics^Real Estate-->neuro development technique paralysis possible aiims neurologist briefed workshop held physiocon conference addressed
152,430,Air Travel^Real Estate-->bopanna pair rd grand slam dakar rally race player
153,431,Vehicles & Parts^Air Travel-->poha eaters bjp leader bjp leader said seni fresh controversy
154,2483,Entertainment^Automobiles-->take care republic day parade trouble
155,5769,Education^CAN-->tamil nadu schools january teachers associations tamil nadu saturday postponed reopening january
156,4622,Real Estate^Career & Job-->direct flights direct air services vikas pathak varanasi varanasi city gu cultural capital
157,3483,News & Politics^Real Estate-->another key decision jagan visakha month rule showing signs welfare schemes become closer
158,3264,Entertainment^Entertainment-->sl i nets ahead full tilt bumrah seen pace spearhead jasprit bumrah play three is two teams stumps ahead sri lanka seen rattling first i bumr
159,4992,Air Travel^Real Estate-->insects attracted ravi looks like like lepidoptera
160,1053,Real Estate^Entertainment-->chief correspondent new delhi delhi disturbed people lutyens zone completely afternoon till late traffic jams night first day crowd continued
161,5182,Religion & Spirituality^Real Estate-->right direction
162,6131,Air Travel^Religion & Spirituality-->surgical strike mamata delhi jnu mamata banerjee fascist surgical attack university students
163,1457,Entertainment^Entertainment-->jamia millia university early winter break december due citizenship law amendment police violence open today massive protests exams
164,3074,Real Estate^Real Estate-->muslim scholars decide submit documents shaheen nagar islamic institute maulana khalid saifullah rahmani maulana ar closed door meeting india participated different parts
165,4073,News & Politics^Travel & Tourism-->salman khan gift verse sisters arpita khan salman khan sharma family ayush sharma
166," Dec 31  2019  04.13 PM IST 0Comments BCCL The ministry has accorded organised Group A status to RPF and renamed it  according to an order issued on Monday. NEW DELHI: The Railways has renamed its security force RPF (Railway Protection Force) as Indian Railway Protection Force Service. The ministry has accorded organised Group A status to RPF and renamed it  according to an order issued on Monday. \""Consequent upon grant of organized group A status ( OGAS ) to RPF in the light of Cabinet decision arising from honourable court's orders  it is hereby informed that RPF will be known as Indian Railway Protection Force Service \"" the order stated. Read more on""",Automobiles^Education-->railway fare hike lpg price hike new year take concrete steps raising railway fares cooking gas cylinders new year new delhi
167,635,CAN^Entertainment-->birds injured due nylon cat nylon cats innocent birds injured due extra blood deadly cat bats birds
168,4417,Air Travel^Real Estate-->oppo reno special sale many smartphones
169,3,Real Estate^News & Politics-->delhi cm kejriwal gets much salary know appeared first assembly elections much salary election dates
170,1662,Education ^Real Estate-->vice chancellor open letter aligarh campus aligarh muslim university open letter denied citizenship
171,2678,Real Estate^Real Estate-->standardised health insurance come says singhel et standardised health insurance
172,3265,Automobiles^Education-->virat sena rajkot equipped skipper virat kohli made regular third second odi match series india changed first match batting order
173,4993,Travel & Tourism^Real Estate-->australian open straight sets third round halep moon fourth seed australian open
174,6525,Impression^Real Estate-->monday went hunger strike
175,1054,Real Estate^Real Estate-->chartered accountants icai ca final results marks merit list chartered accountants
176,4994,Click^Real Estate-->water know may birth pile
177,5555,Entertainment^Banking & Finance-->corona virus infection young man kalamassery ernakulam govt corona virus infection symptoms medical college kannur native
178,432,Entertainment^Entertainment-->muslim applicants birth certificates national citizenship register tenfold increase muslim community birth certificates
179,847,CAN^News & Politics-->receiving dadasaheb phalke award legendary actor amitabh bachchan dadasaheb phalke award social media
180,2062,Entertainment^Music and Audio-->standing ovation outside delhi police citizenship act
181,6898,Real Estate^Entertainment-->prince keshari chief minister bengali brothers bjp citizen bengali brothers confused bangla hunt desk something wrong citizenship act change colors bankura onda
182,1266,Entertainment^Education-->say prabhas tomorrow pooja hegde original image spread wallpapers saho movie
183,2484,CAN^Education-->village former minister controversial remarks buffaloes pics madness made strong remarks service managers jagan government initiations undertaken
184,4231,CAN^Entertainment-->gibraltar chess festival indian challenge adiban sasikaran grandmaster adhiban gibraltar january master class sasikiran indian challenge
185,1055,Entertainment^Real Estate-->onion records highest rated rs badagi pepper market badagi chilli market
186,2485,Entertainment^Real Estate-->kartik aryan kal vijaya karnataka privacy policy new data regulations updated privacy cookie policy please review european union
187,1663,Banking & Finance^Real Estate-->tanhaji success unsung warrior hit theatres last week ajay devgn kajol box office boggling run
188,4814,Entertainment^Entertainment-->pace support pitch first xi going potential xi new zealand winning two matches indian team made indian team led despite falling behind virat kohli great comeback
189,2486,News & Politics^Click-->teenage magic near thakkala police investigation eugene gerald hails thakkala muthalakkurichi nearby store long time kumari district daughter jinzi
190,5961,Banking & Finance^Entertainment-->town mourns kushal punjabi ranvir shorey farhan akhtar tv actor kushal punjabi kushal committed suicide thursday night friday expressed pain bandra area late untimely death bollywood fraternity
191,6899,Home & Garden^Air Travel-->rains claim lives heavy snowfall officials said monday three people severe cold many parts affected pakistan
192,4623,Entertainment^Entertainment-->skinny men obese people increased weight also overall personality negative effect
193," Updated: Dec 30  2019  17:21 IST LUDHIANA: Punjab Chief Minister Amarinder...""",Real Estate^Entertainment-->various demand demands protests two day school children get hot big news activist activists get hot food two days school workers school children protesting today activists protest
194,4232,Entertainment^Banking & Finance-->uriyattu new poster sri vishnu murthy sri palanthai kannan movie film based
195,3075,Education ^Real Estate-->huge water tank collapsed video went viral water tank collapses water tank collapsed huge water tank water supply cut within seconds west bengal
196,3484,Banking & Finance^Entertainment-->india vs australia reaches wankhede modi modi ongoing protests across little later according citizenship amendment act also heard accounts chants
197,A very easy to understand tutorial on how to make a Rectangular Box. For more popular children vidoes  kids songs  children songs  children poems  baby songs  baby rhymes  kids nursery rhymes  nursery...,Real Estate^News & Politics-->blasters beat hyderabad second match kerala blasters thrashed hyderabad second win five goals death struggle blaza
198,3681,Banking & Finance^Music and Audio-->dk district jds video released judicial probe manassu close button mangalore police commissioner dr recently released cd mangalore jan mangalore violence golibar case
199,2255,CAN^Entertainment-->si post also union ministry pinarayi government legal action jacob thomas final decision dgp jacob thomas said si post also
200,6132,Real Estate^News & Politics-->oman ruler india announced oman passed away new delhi january day mourning
201,2063,Education^Real Estate-->shooting event shooter shafat competing shooters shot dead shooting competition moving target jury member
202,1664,Real Estate^Real Estate-->zilla parishad shahu maharaj janak family inviting members
